uid,area,titulo,promesa,avance_total,coherencia,,,boletin,titulo_proyecto,link,1° tramite,veto,insistencia,2°-3° tramite,comision_mixta,tribunal_constitucional,aprobacion_presidencial,promulgado,rechazado/retirado,nombre_avance,avance,simple,suma,inmediata,total_urgencias,marginal,parcial_minima,parcial_alta,total,escala_de_coherencia,justificacion_avance,justificacion_nota,ja_porque,jn_porque
1,Ciencia y Tecnología,Creación del ministerio de Ciencia y Tecnología,"Seguiremos trabajando para promover la innovación, dando un salto institucional al crear el tan esperado Ministerio de Ciencia y Tecnología, proyecto que será enviado el segundo semestre de este año",40%,3,,,11101-19,Sobre la creación del Ministerio de Ciencia y Tecnología,https://www.camara.cl/pley/pley_detalle.aspx?prmID=11615&prmBoletin=11101-19,1,,,,,,,,,Primer Tramite,"0,4",,,,0,,,1,,3,"Si bien el proyecto de Ley contiene elementos de la propuesta, no fue enviado en los plazos inicialmente anunciados. Sumado a lo anterior, existen dudas sobre el compromiso presupuestario destinado a la creación del Ministerio, así como también sobre si el proyecto se aprobará durante el transcurso de este año, y si en su tramitación se recogerán las opiniones de todos los actores relevantes (justificación proporcionada por Fundación Más Ciencia).",,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es parcialmente coherente con la promesa realizada
2,"Democracia",Elección democrática de Intendentes,También debemos avanzar más para construir una verdadera democracia regional y para ello es fundamental aprobar la elección directa del Ejecutivo Regional. El proyecto de reforma constitucional que establece su elección directa ha sido aprobado en general en el Senado y confío en que despachará prontamente el proyecto a la Cámara de Diputados para que efectivamente se pueda realizar la elección popular de la autoridad regional el año 2017,77%,4,100%,4,9834-06,Dispone la elección popular del órgano ejecutivo del gobierno regional.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=10247&prmBoletin=9834-06,,,,,,,,1,,Promulgado,1,8,6,10,24,,,,1,4,"Pretende modificar la Constitución, estableciendo que el cargo de Intendente se elige por votación popular y dura 4 años con posibilidad de reelección inmediata, por lo que cumple con el compromiso del discurso.",,"La promesa cuenta con 3 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 3 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
2,"Democracia",Elección democrática de Intendentes,,,,90%,4,10443-06,"Modifica la Constitución Política con el objeto de promover una descentralización efectiva, proponiendo el reemplazo del Intendente por un Gobernador Regional elegido directamente, y del actual Gobernador por un Delegado Presidencial en cada provincia.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=10863&prmBoletin=10443-06,,,,,,,1,,,Aprobación Presidencial,"0,9",3,6,10,19,,,,1,4,"Establece que el gobierno de cada región reside en un Gobernador Regional, que será elegido en votación directa.",,"La promesa cuenta con 3 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos",La promesa cuenta con 3 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
2,"Democracia",Elección democrática de Intendentes,,,,40%,4,11200-06,Regula la elección de gobernadores regionales y realiza adecuaciones a diversos cuerpos legales,https://www.camara.cl/pley/pley_detalle.aspx?prmID=11716&prmBoletin=11200-06,1,,,,,,,,,Primer Tramite,"0,4",1,2,,3,,,,1,4,"Establece que la elección de Gobernadores Regionales se hará conjuntamente con la elección de consejeros regionales, en cédula separada. Además, incorpora normas que adecuan las denominaciones de los actuales Intendentes y Gobernadores, pasando a llamarse Delegados Presidenciales Regionales y Delegados Presidenciales Provinciales respectivamente.
",,"La promesa cuenta con 3 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 3 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
3,Economía y Comercio,"Agenda de Productividad, Innovación y Crecimiento","Está en marcha la Agenda de Productividad, Innovación y Crecimiento. Y hoy puedo decir que más del 80 por ciento de sus medidas están en funcionamiento y produciendo resultados. Este Congreso ya está discutiendo el proyecto de ley que promueve las exportaciones de servicios y mejora el acceso al financiamiento",100%,4,,,10661-05,Establece un conjunto de medidas para impulsar la productividad,https://www.camara.cl/pley/pley_detalle.aspx?prmID=11088&prmBoletin=10661-05,,,,,,,,1,,Promulgado,1,4,2,,6,,,,1,4,"El proyecto de Ley tiene como objetivo aumentar la productividad del país por medio de: (1) la profundización del sistema financiero, de manera de facilitar las transacciones, expandir las posibilidades de financiamiento y reducir su costo, haciendo más eficiente el sistema de pagos, y (2) la promoción de las exportaciones de servicios, para diversificar la economía hacia nuevos sectores intensivos en capital humano y orientados hacia los mercados externos.",,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
4,Economía y Comercio,Sanciona la colusión y da mayores atribuciones a la Fiscalía Nacional Económica,"Ya enviamos al Congreso un proyecto de ley con controles estrictos y medidas severas para quienes transgredan el principio de la libre competencia, (...) sanciona penalmente la colusión y da más atribuciones a la Fiscalía Nacional Económica para ejercer sus funciones",100%,4,,,9950-03,"Modifica el decreto con fuerza de ley N° 1, de 2004, del Ministerio de Economía, Fomento y Reconstrucción, que Fija el texto refundido, coordinado y sistematizado del decreto ley N° 211, de 1973, que Fija normas para la defensa de la libre competencia.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=10362&prmBoletin=9950-03,,,,,,,,1,,Promulgado,1,2,19,13,34,,,,1,4,"Introduce cambios en el sistema de defensa de la libre competencia que permiten disuadir y sancionar a quienes atentan en contra de las bases de la economía de mercado, renunciando a competir. Establece el aumento del monto máximo de multas a quienes participen de la comisión de un ilícito de colusión. Además, se propone dotar a la Fiscalia Nacional Económica de la facultad de realizar estudios sobre la evolución competitiva de los mercados, para lo cual podrá recabar información tanto de particulares como de instituciones públicas. ",,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
5,Economía y Comercio,Comisión de valores y seguros,Creación de la Comisión de Valores y Seguros para supervisar con rigor las transacciones en dinero,100%,4,,,9015-05,Crea Comisión de Valores y Seguros.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=9420&prmBoletin=9015-05,,,,,,,,1,,Promulgado,1,8,42,2,52,,,,1,4,"El proyecto de ley cambia la orientación estructural de la Comisión, dejando su jefatura en un órgano colegiado, cuyos miembros son nombrados con acuerdo del Senado y mediante Alta Dirección Pública (ADP), siendo de dedicación exclusiva. Además, le otorga patrimonio propio. La Comisión puede requerir informaciones bancarias de quien las solicite y que resulten necesarias para verificar acciones delictuales. Se le otorgan facultades para ingresar a recintos, autorizar la interceptación de toda clase de comunicaciones, entre otras. Se extiende a sus funcionarios el beneficio de defensa legal para casos relacionados con el ejercicio de sus funciones. ",,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
6,Economía y Comercio,Creación y Asignación de Caletas,"Por lo mismo, le he dado suma urgencia al proyecto de Ley que agiliza la creación y asignación de caletas en todo el territorio nacional",70%,4,,,10063-21,Regula el desarrollo integral y armónico de caletas pesqueras a nivel nacional y fija normas para su declaración y asignación.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=10485&prmBoletin=10063-21,,,,1,,,,,,Segundo Tramite,"0,7",,26,,26,,,,1,4,"El proyecto de ley propone crear un marco normativo para el establecimiento y asignación de caletas pesqueras artesanales a nivel nacional, a través de un procedimiento ágil y expedito que permitirá que organizaciones de pescadores artesanales puedan potenciar de manera armónica e integral el desarrollo de estos espacios, actualmente sin un régimen especial que las regule.",,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
7,Economía y Comercio,Fortalece SERNAC,"Y en ese mismo sentido, el fortalecimiento del Sernac busca darle más poder para cuidar a los consumidores",70%,4,,,9369-03,"Modifica ley N° 19.496, sobre Protección de los Derechos de los Consumidores.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=9783&prmBoletin=9369-03,,,,1,,,,,,Segundo Tramite,"0,7",3,14,,17,,,,1,4,"El proyecto propone un cambio en el rol que le corresponde al Sernac, confiriéndole facultades para fiscalizar, sancionar, interpretar la ley y dictar normas de carácter general. Se preserva y perfecciona la facultad del Sernac de llevar a cabo mediaciones colectivas con anterioridad al ejercicio de acciones judiciales. Además, el proyecto de Ley establece el fortalecimiento de las asociaciones de consumidores y el incremento de las multas por infracción a la normativa de protección a los derechos de los consumidores.",,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
8,Educación,Gratuidad en proyecto de Ley de Educación Superior,"Enviaré el proyecto de Ley de Educación Superior el próximo mes. Fijaremos las reglas permanentes de la gratuidad y la manera en que aumentará la cobertura. Desde el próximo año incluiremos a la gratuidad a los institutos profesionales y centros de formación técnica sin fines de lucro y acreditados por cuatro años, para estudiantes de los primeros cinco deciles de ingresos. El año 2018 habremos ampliado la gratuidad hasta el 6° decil y luego la ley fijará los mecanismos para avanzar en cubrir los deciles restantes. Las condiciones de esta progresión quedarán establecidas explícitamente en la ley",40%,3,,,10783-04.,Sobre educación superior,https://www.camara.cl/pley/pley_detalle.aspx?prmID=11224&prmBoletin=10783-04,1,,,,,,,,,Primer Tramite,"0,4",9,5,2,16,,,1,,3,"Si bien por glosa y por presupuesto se cumplió con la extensión de la gratuidad al sexto decil y se amplió la cobertura hacia Centros de Formación Técnica e Institutos Profesionales, quedó fuera la aprobación del mecanismo para la gratuidad permanente, ya que esta ha sido implementada a través de leyes transitorias que asignan recursos para el sector público y se tramitan año a año. Si se aprueba el proyecto se espera que la ampliación de cobertura en los deciles beneficiados no dependa de la voluntad del gobierno de turno, sino que sea un proceso mandatado por una ley de carácter permanente (Evaluación de coherencia realizada por Educación 2020)",,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es parcialmente coherente con la promesa realizada
