uid,area,titulo,promesa,avance_total,boletin,titulo_proyecto,link,1° tramite,veto,insistencia,2°-3° tramite,comision_mixta,tribunal_constitucional,aprobacion_presidencial,promulgado,rechazado/retirado,nombre_avance,avance,simple,suma,inmediata,total_urgencias,ja_porque
1,Agricultura,"Fondo Soberano de Adaptación al Cambio
Climático","Crear, con fondos existentes y parte de la recaudación del royalty, un Fondo Soberano de  Adaptación al Cambio Climático",0%,,,,,,,,,,,,,,0,,,,0,#REF!
2,Agricultura,Obligación de declarar proyecciones de GEI y medidas de mitigación,"Propondremos legislación para que aquellos proyectos productivos que deban someterse a un proceso de evaluación ambiental declaren sus proyecciones de GEI y medidas de mitigación consistentes con el objetivo de carbononeutralidad, y para que la exigencia de que en  proyecciones de línea de base se considere el comportamiento futuro de componentes ambientales según diferentes escenarios climáticos.",0%,,,,,,,,,,,,,,0,,,,0,#REF!
3,Agricultura,Agua bien nacional de uso público,"
Nuestro programa quiere establecer condiciones que materialicen el agua como bien nacional de uso público, bien común o bien colectivo, según lo establezca la Convención Constitucional. Proponemos cambiar el modelo de gestión actual para avanzar hacia una gobernanza con carácter sistémico, integrado, descentralizado, con enfoque de cuencas y basado en la ciencia.",0%,,,,,,,,,,,,,,0,,,,0,#REF!
4,Agricultura,"Ley de rotección a las semillas ancestrales
y patrimonio genético",Ley de protección a las semillas ancestrales y patrimonio genético,0%,,,,,,,,,,,,,,0,,,,0,#REF!
5,Agricultura,Sistema Nacional de Gestión de Aguas,"Crear un Sistema Nacional de Gestión de Aguas, que materialice la implementación de un nuevo modelo sistémico de gestión en sintonía con la naturaleza, según lo que establezca la Convención Constitucional. Tendrá dentro de sus principales objetivos la unificación de las competencias del Estado en materia de aguas; consolidar un sistema integrado de información estandarizada, validada, transparente y actualizada sobre los recursos hídricos del país, que permita tomar decisiones de gestión basadas en la evidencia en cada cuenca; y aumentar las capacidades del Estado para la fiscalización y sanción en materia de recursos hídricos. Además, planificará participativamente intervenciones de los distintos actores en la cuenca. Por último, velará por la transición hacia un sistema de licencias de uso  de aguas con características que se condigan con la naturaleza jurídica de bien nacional de uso público, y que permita otorgarlas sujetas a revisión periódica, de manera que la autoridad pueda verificar el cumplimiento de las condiciones de otorgamiento para renovarlas o revocarlas.",0%,,,,,,,,,,,,,,0,,,,,
6,Agricultura,"Nueva Ley de Pesca y
Acuicultura","Apoyaremos la derogación de la Ley de Pesca y promulgaremos una nueva Ley de Pesca y Acuicultura, orientada a lograr la sostenibilidad de las  actividades de extracción y cultivo de especies, fortaleciendo las capacidades y herramientas para el monitoreo y vigilancia del estado de las  pesquerías y el cuidado de los ecosistemas y que ponga fin a la historia de corrupción y cohecho que arrastra la legislación actual. Esta ley debe tener en cuanta la legislación indígena preexistente.",0%,,,,,,,,,,,,,,0,,,,0,#REF!
7,Agricultura,Reformulación de la institucionalidad en agricultura y pesca,"Reformularemos participativamente la institucionalidad de Agricultura y Pesca, para fortalecer el rol en torno a la soberanía alimentaria, el desarrollo rural y la conservación y el manejo sustentable de los recursos naturales.",0%,,,,,,,,,,,,,,0,,,,0,#REF!
8,Agricultura,modificaciones a ley N°20.283,"También propondremos
modificaciones a ley N°20.283 sobre Recuperación
del Bosque Nativo y Fomento Forestal.",0%,,,,,,,,,,,,,,0,,,,0,#REF!
9,Agricultura,Creacion de los Organismos de Cuenca,"Se contempla un organismo rector que unifique, dirija y coordine las competencias del Estado en materia de aguas en sus distintos niveles, bajo un enfoque de gobernanza democrática y participativa, para una gestión integrada a nivel nacional, regional y territorial por cuencas. Los Organismos de Cuenca, como órgano a nivel de una o más cuencas, serán instancias representativas de deliberación, planificación y coordinación, en un marco de gestión integrada de recursos hídricos (GIRH), entre los usuarios de aguas, los organismos públicos y actores privados y comunitarios relacionados con la gestión de las aguas en sus respectivos territorios.",0%,,,,,,,,,,,,,,0,,,,0,#REF!
10,Ciencia y Tecnología,"Instituto Tecnológico y de Investigación
Público para la Crisis Climática y Ecológica",Avanzaremos en la creación del Instituto Tecnológico y de Investigación Público para la Crisis Climática y Ecológica que tendrá el rol de generar  bienes públicos,0%,,,,,,,,,,,,,,0,,,,0,#REF!
11,Cultura,Instituto Público de Artes Humanidades y Ciencias ,"Creación de un Instituto Público de Artes, Humanidades y Ciencias Sociales para el futuro de nuestros pueblos.",0%,,,,,,,,,,,,,,0,,,,0,#REF!
12,Cultura,Modificaciones a los mecanismos de financiamiento en cultura,"Proponemos aumentar el presupuesto del Ministerio al 1% del presupuesto de la nación en el próximo Gobierno, y la reestructuración de los fondos de cultura como único mecanismo de financiamiento. Buscamos asegurar las condiciones necesarias para que el ecosistema cultural se desarrolle de forma orgánica. Proponemos modificar leyes sectoriales para contar con nuevos, mejores y más pertinentes mecanismos de financiamiento, que permitan la estabilidad y
planificación de la gestión, abandonando la lógica concursable e integrando la realidad actual de cada uno de los sectores.",0%,,,,,,,,,,,,,,0,,,,0,#REF!
13,Cultura,Ley de Artes Visuales,"Se trabajará por una Ley de Artes Visuales, en conjunto con las organizaciones y gremios del sector.",0%,,,,,,,,,,,,,,0,,,,0,#REF!
14,Cultura,Nueva Ley de Archivos,"Nueva Ley de Archivos: actualización al siglo XXI de los ámbitos de gestión, territorialidad y transparencia de los archivos públicos. Fomento al desarrollo de archivos locales y comunitarios.",0%,,,,,,,,,,,,,,0,,,,0,#REF!
