uid,area,titulo,promesa,avance_total,boletin,titulo_proyecto,link,1° tramite,veto,insistencia,2°-3° tramite,comision_mixta,tribunal_constitucional,aprobacion_presidencial,promulgado,rechazado/retirado,nombre_avance,avance,simple,suma,inmediata,total_urgencias,ja_porque
1,Economía y Comercio,Reintegración Impuestos Corporativos,Reintegrar gradualmente el impuesto a nivel de empresas con los impuestos pagados por las personas.,0%,,,,,,,,,,,,,,0,11,1,4,16,"El proyecto de ley ingresado inicialmente que cumplía esta promesa (boletín 12043-05) fue cambiado sustancialmente, por lo que no se cuenta esta promesa como cumplida."
2,Economía y Comercio,Baja la tasa del impuesto a las empresas,Hacer converger gradualmente la tasa del impuesto de primera categoría a los niveles promedio de los países de la OCDE.,0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
3,Economía y Comercio,Incentivos inversión,"Establecer incentivos que reactiven la inversión favoreciendo prioritariamente a las Pymes, la innovación y el emprendimiento",100%,12043-05,Moderniza la legislación tributaria,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=12043-05,,,,,,,,1,,Promulgado,1,11,1,4,16,El proyecto de ley asociado se encuentra publicado y es Ley de la República.
4,Economía y Comercio,Institucionalizar Regla Fiscal,Perfeccionar e institucionalizar la regla fiscal para asegurar su credibilidad en el tiempo,100%,11777-05,Crea el Consejo Fiscal Autónomo,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11777-05,,,,,,,,1,,Promulgado,1,,,2,2,El proyecto de ley asociado se encuentra publicado y es Ley de la República.
5,Economía y Comercio,Reducir carga administrativa tributaria,"Reducir y simplificar la carga administrativa de la reforma tributaria, especialmente para las Pymes, y otorgar mayor seguridad jurídica a empresas y personas",100%,12043-05,Moderniza la legislación tributaria,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=12043-05,,,,,,,,1,,Promulgado,1,11,1,4,16,El proyecto de ley asociado se encuentra publicado y es Ley de la República.
6,Economía y Comercio,Masificación de la firma electrónica,Masificación de la firma electrónica,70%,8466-07,"Modifica la ley N° 19.799 sobre documentos electrónicos, firma electrónica y servicios de certificación de dicha firma y otros textos legales que indica.",http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=8466-07,,,,1,,,,,,Segundo Tramite,"0,7",,1,2,3,El proyecto de ley asociado se encuentra en tercer trámite constitucional.
7,Economía y Comercio,Movilidad de garantías hipotecarias,Movilidad de garantías hipotecarias,70%,12409-03,Proyecto de Ley que Establece Medidas para Incentivar la protección de los derechos de los consumidores,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=12409-03,,,,1,,,,,,Segundo Tramite,"0,7",2,18,,20,El proyecto de ley asociado se encuentra en segundo trámite constitucional
8,Economía y Comercio, Incentivo regional para atraer inversiones,"Crear un incentivo regional para atraer inversiones, en que los grandes proyectos aporten al desarrollo local en las comunas donde se emplacen",100%,12043-05,Moderniza la legislación tributaria,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=12043-05,,,,,,,,1,,Promulgado,1,11,1,4,16,El proyecto de ley asociado se encuentra publicado y es Ley de la República.
9,Medio Ambiente,Reestructurar el Sistema de Evaluación Ambiental,"Reestructurar y agilizar el Sistema de Evaluación Ambiental, a fin de lograr el desarrollo de procesos más expeditos, con altos estándares de calidad ambiental y en un marco de certeza jurídica para los titulares, la comunidad y los distintos servicios públicos que participan en la evaluación.",0%,11952-12,Moderniza el Sistema de Evaluación de Impacto Ambiental,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11952-12,,,,,,,,,1,Rechazado Retirado,0,3,,,3,El proyecto de ley o el artículo que representaba la promesa fue rechazado o retirado.
10,Estado,Modernizar las empresas públicas,"Modernizar las empresas públicas, dotándolas de un marco regulatorio moderno y común.",0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
11,Economía y Comercio,Regular los mercados de economía colaborativa,Regular los mercados de economía colaborativa para facilitar la adecuada operación de sus plataformas.,70%,11934-15,Regula a las aplicaciones de transporte remunerado de pasajeros y los servicios que a través de ellas se presten,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11934-15,,,,1,,,,,,Segundo Tramite,"0,7",8,4,,12,El proyecto de ley asociado se encuentra en segundo trámite constitucional
12,Economía y Comercio,Hacer más eficaz al SERNAC,"Hacer más eficaz la acción del SERNAC a favor de los consumidores, para que éstos puedan ejercer sus derechos, y asegurar la debida atención de los usuarios del sector público ampliando su rol a esta materia. Mejorar sus competencias y capacidades, con criterio conocidos, transparentes y objetivos.",100%,9369-03,"Modifica ley N° 19.496, sobre Protección de los Derechos de los Consumidores.",http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=9369-03,,,,,,,,1,,Promulgado,1,,,,0,El proyecto de ley asociado se encuentra publicado y es Ley de la República.
13,Economía y Comercio,Adaptar los contratos indefinidos,"Crear un mecanismo para adaptar los contratos indefinidos a las condiciones cambiantes, sin costos excesivos y con respeto a los derechos del consumidor",70%,12409-03,Proyecto de Ley que Establece Medidas para Incentivar la protección de los derechos de los consumidores,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=12409-03,,,,1,,,,,,Segundo Tramite,"0,7",2,18,,20,El proyecto de ley asociado se encuentra en segundo trámite constitucional
14,Trabajo y Previsión Social,Modernizar la legislación en materia de jornada laboral,"Modernizar la legislación en materia de jornada laboral, redefiniéndola en base a “hora” y permitiendo que el máximo semanal de 45 horas pueda ser distribuido en 4 días por acuerdo individual o colectivo.",40%,12618-13,"Proyecto de ley sobre modernización laboral para la conciliación, familia e inclusión.",http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=12618-13,1,,,,,,,,,Primer Tramite,"0,4",1,12,,13,El proyecto de ley asociado se encuentra en primer trámite constitucional
15,Trabajo y Previsión Social,Mayor libertad para pactar jornada y horas extraordinarias.,"Permitir que los trabajadores pacten con mayor libertad materias de jornada y horas extraordinarias, estableciendo límites máximos predefinidos para prevenir abusos.",40%,12618-13,"Proyecto de ley sobre modernización laboral para la conciliación, familia e inclusión.",http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=12618-13,1,,,,,,,,,Primer Tramite,"0,4",1,12,,13,El proyecto de ley asociado se encuentra en primer trámite constitucional
16,Trabajo y Previsión Social,Modernizar la jornada parcial,"Modernizar la jornada parcial y permitir que las partes pacten bolsas de permisos para fines de cuidado familiar o actividades escolares, a ser compensados en los 30 días siguientes.",40%,12618-13,"Proyecto de ley sobre modernización laboral para la conciliación, familia e inclusión.","
http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=12618-13",1,,,,,,,,,Primer Tramite,"0,4",1,13,,14,El proyecto de ley asociado se encuentra en primer trámite constitucional
17,Trabajo y Previsión Social,Regular el trabajo a distancia,Crear un contrato especial de trabajo a distancia que regule sus características.,70%,12008-13,Modifica el Código del Trabajo en materia de trabajo a distancia,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=12008-13,,,,1,,,,,,Segundo Tramite,"0,7",11,1,,12,El proyecto de ley asociado se encuentra en segundo trámite constitucional
18,Trabajo y Previsión Social,Ampliar progresivamente el feriado anual,"Ampliar progresivamente el feriado anual de 15 a 20 días hábiles, a ser compensados con la reducción de 3 feriados.",0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
19,Trabajo y Previsión Social,Posibilitar los pactos individuales de adaptabilidad laboral.,"Posibilitar, cuando sea pertinente y resguardando los derechos básicos de los trabajadores, los pactos individuales de adaptabilidad laboral.",40%,12618-13,"Proyecto de ley sobre modernización laboral para la conciliación, familia e inclusión.",http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=12618-13,1,,,,,,,1,,Primer Tramite,"0,4",1,12,,13,El proyecto de ley asociado se encuentra en primer trámite constitucional
20,Trabajo y Previsión Social,Procedimientos de negociación colectiva para grupos no sindicalizados,Especificar procedimientos de negociación colectiva para grupos de negociadores fuera de los sindicatos.,0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
