uid,area,titulo,promesa,avance_total,coherencia,,,boletin,titulo_proyecto,link,1° tramite,veto,insistencia,2°-3° tramite,comision_mixta,tribunal_constitucional,aprobacion_presidencial,promulgado,rechazado/retirado,nombre_avance,avance,simple,suma,inmediata,total_urgencias,marginal,parcial_minima,parcial_alta,total,escala_de_coherencia,justificacion_avance,justificacion_nota,ja_porque,jn_porque
1,Agricultura,Crea Ministerio de Agricultura,"Estamos fortaleciendo nuestro Ministerio de Agricultura, para adecuarlo a las exigencias y desafíos de este mundo globalizado y transformarlo en un moderno Ministerio de Agricultura, Alimentación y Recursos Naturales, al servicio de los campesinos, productores agrícolas y el mundo rural.",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
2,Agricultura,Crea Fiscal de Agricultura,"Estamos fortaleciendo la Comisión Antidistorsiones, ya dictamos un nuevo decreto de salvaguardias para el maíz partido y creamos un fiscal especializado en agricultura en la Fiscalía Nacional Económica",0%,1,,,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
3,Cultura,Crea el Ministerio de Cultura,"Enviaremos el proyecto de ley que crea el Ministerio de Cultura y Patrimonio, que estará integrado por el Consejo de la Cultura y las Artes, el Consejo de Monumentos Nacionales y la Dirección de Bibliotecas, Archivos y Museos.",40%,1,,,8938-24,Crea el Ministerio de Cultura,https://www.camara.cl/pley/pley_detalle.aspx?prmID=9344&prmBoletin=8938-24,1,,,,,,,,,Primer Tramite,"0,4",,,,0,,,,,1,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,No se conocen proyectos de ley asociados a esta promesa
4,Cultura,Fortalecimiento Ley de donaciones culturales,Valoramos la aprobación en la Cámara de Diputados del proyecto que perfecciona y fortalece la Ley de Donaciones Culturales y esperamos su pronta aprobación por el Senado.,90%,1,,,7761-24,"Modifica la Ley sobre Donaciones con Fines Culturales, contenida en el artículo 8° de la ley N° 18.985.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=8158&prmBoletin=7761-24,,,,,,,1,,,Aprobación Presidencial,"0,9",,18,1,19,,,,,1,,,El proyecto de ley se encuentra en proceso de ser promulgado,No se conocen proyectos de ley asociados a esta promesa
5,Defensa,Nuevo Financiamiento de FFAA,"Hemos avanzado en la sustitución de la Ley Reservada del Cobre, mediante el proyecto sobre Financiamiento de las Capacidades Estratégicas de la Defensa.",70%,1,,,7678-02,"Establece nuevo mecanismo de financiamiento, de las capacidades estratégicas de la defensa nacional.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=8071&prmBoletin=7678-02,,,,1,,,,,,Segundo Tramite,"0,7",,1,1,2,,,,,1,,,El proyecto de ley asociado se encuentra en segundo trámite constitucional,No se conocen proyectos de ley asociados a esta promesa
6,Justicia y DDHH,Establece compensaciones para víctimas de explosiones por minas antipersonales,También ingresaremos el proyecto de ley destinado a otorgar reparación y rehabilitación a las víctimas de accidentes por explosión de minas antipersonales,90%,1,,,9109-02,Proporciona reparación y asistencia en rehabilitación a las víctimas de explosión de minas u otros artefactos explosivos militares abandonados o sin estallar.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=9506&prmBoletin=9109-02,,,,,,,1,,,Aprobación Presidencial,"0,9",,,,0,,,,,1,,,El proyecto de ley se encuentra en proceso de ser promulgado,No se conocen proyectos de ley asociados a esta promesa
7,Trabajo y Previsión social,Eliminación gradual del 6% de cotización de pensionados de FF.AA.,"Por último, enviaremos próximamente al Congreso el proyecto que eliminará o reducirá gradualmente la cotización del seis por ciento que afecta a los pensionados de las FF.AA. y de Orden, y eliminará algunas distorsiones, cumpliendo así otro de nuestros compromisos de Gobierno.",70%,1,40%,1,8643-02,"Modifica algunos aspectos previsionales de las Fuerzas Armadas, Fuerzas de Orden y Seguridad Pública y Gendarmería de Chile.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=9045&prmBoletin=8643-02,1,,,,,,,,,Primer Tramite,"0,4",1,,,1,,,,,1,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,No se conocen proyectos de ley asociados a esta promesa
7,Trabajo y Previsión social,Modifica ley para que afiliados a Dipreca y Capredena puedan afiliarse a Cajas de Compensación familiar,,,,100%,1,7441-13,"Modifica ley N° 19.539, permitiendo a los pensionados de la Dirección de Previsión de Carabineros de Chile y, de la Caja de Previsión de la Defensa Nacional, incorporarse a Cajas de Compensación de Asignación Familiar.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=7839&prmBoletin=7441-13,,,,,,,,1,,Promulgado,1,,2,,2,,,,,1,,,El proyecto de ley asociado se encuentra despachado y es Ley de la República,No se conocen proyectos de ley asociados a esta promesa
8,Democracia,Establece el Sistema de Elecciones Primarias,"Para eso enviamos el proyecto que establece un sistema de primarias para la selección de candidatos, ya aprobado en la Cámara de Diputados",100%,1,,,7911-06,"Establece el Sistema de Elecciones Primarias para la nominación de candidatos a Presidente de la República, Parlamentarios y Alcaldes.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=8304&prmBoletin=7911-06,,,,,,,,1,,Promulgado,1,,8,,8,,,,,1,,,El proyecto de ley asociado se encuentra despachado y es Ley de la República,No se conocen proyectos de ley asociados a esta promesa
9,Democracia,Establece el voto de chilenos en el extranjero,"Para eso enviamos el proyecto que establece (...) y el voto de los chilenos en el extranjero, que mantengan un vínculo con Chile.",40%,1,40%,1,6950-07,Reforma constitucional para permitir el voto de los chilenos desde el extranjero.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7351&prmBoletin=6950-07,1,,,,,,,,,Primer Tramite,"0,4",,,,0,,,,,1,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,No se conocen proyectos de ley asociados a esta promesa
