id;area;titulo;promesa;avance_total;coherencia;;;boletin;promesa con pl;titulo_proyecto;link;1° tramite;2°-3° tramite;aprobacion presidencial;promulgado;nombre avance;avance;simple;suma;inmediata;total_urgencias;marginal;parcial minima;parcial alto;total;escala de coherencia
1;Agricultura;Financiamiento a industria silvo-agropecuaria;En el sector silvo-agropecuario fomentaremos el acceso al financiamiento, fortaleciendo legalmente los contratos de compraventa para que éstos puedan constituir una real garantía de crédito;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
2;Agricultura;Fondo Sanitario de Contingencia;Se creará el Fondo Sanitario de Contingencia, de tal forma que ante una emergencia sanitaria existan los recursos para hacerle frente oportunamente;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
3;Agricultura;Reforma al fomento forestal;Perfeccionará y prorrogará el DL 701;70%;4;100%;4;7102-01;1;Prorroga la vigencia del decreto ley N° 701, de 1974, y aumenta los incentivos a la forestación.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=7501&prmBoletin=7102-01;;;;1;Promulgado;1;;;;0;;;;1;4
3;Agricultura;Reforma al fomento forestal;;;;40%;4;8603-01;;Fomento Forestal que modifica y extiende el DL N° 701;https://www.camara.cl/pley/pley_detalle.aspx?prmID=9002&prmBoletin=8603-01;1;;;;Primer Tramite;0,4;;4;;4;;;;1;4
4;Agricultura;Fortalecimiento CONAF;Se dictará una ley orgánica para CONAF, potenciando así su importante labor;40%;4;;;7486-01;1;Proyecto de ley que crea el Servicio Nacional Forestal, CONAF.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=7889&prmBoletin=7486-01;1;;;;Primer Tramite;0,4;3;5;1;9;;;;1;4
5;Agricultura;Fortalecimiento del empleo rural;Priorizaremos el empleo en las zonas rurales, haciendo que la legislación laboral reconozca las particularidades del sector;40%;4;;;7976-13;1;Modifica las normas de los trabajadores agrícolas establecidas en el Código del Trabajo.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=8378&prmBoletin=7976-13;1;;;;Primer Tramite;0,4;1;2;;3;;;;1;4
6;Economia y Comercio;Sustentabilidad de recursos hidrobiologicos;Se prolongará y perfeccionará el mecanismo de cuotas individuales transferibles, de manera de preservar nuestros recursos pesqueros y aprovechar su potencial de desarrollo. Se extenderá la aplicación de estos instrumentos al sector de pesca artesanal para  potenciar su desarrollo y se buscarán los mecanismos de apoyo y fomento a la asociatividad de este sector, fomentando así una cultura emprendedora;90%;3;;;8091-21;1;Modifica en el ámbito de la sustentabilidad de recursos hidrobiológicos, acceso a la actividad pesquera industrial y artesanal y regulaciones para la investigación y fiscalización, la ley General de Pesca y Acuicultura contenida en la ley N° 18.892 y sus modificaciones.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=8488&prmBoletin=8091-21;;;1;;Aprobación Presidencial;0,9;6;6;5;17;;;1;;3
7;Agricultura;Legalización y regulación de cultivos transgénicos;Permitiremos el cultivo de transgénicos sujetos a controles de calidad y sanidad en maíz, remolacha, trigo, raps y arroz, resolviendo así la competencia desleal de los productores de estos rubros;40%;4;;;4690-01;1;Sobre vegetales genéticamente modificados.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=5074&prmBoletin=4690-01;1;;;;Primer Tramite;0,4;;;;0;;;;1;4
8;Economia y Comercio;Inversión en Ciencia y tecnología;Se simplificará y potenciará el crédito tributario a la inversión privada en el área (Ciencia y tecnología);100%;4;;;7503-19;1;Modifica ley N° 20.241, que establece un incentivo tributario, a la inversión privada en investigación y desarrollo.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=7871&prmBoletin=7503-19;;;;1;Promulgado;1;4;11;2;17;;;;1;4
9;Cultura y patrimonio;Inversión en artes y cultura;Crearemos un cuerpo de iniciativas legales tendientes a promover la participación responsable de la sociedad civil, estimulando el financiamiento de las actividades artístico-culturales y de cuidado del patrimonio cultural por parte de los privados;70%;4;;;7761-24;1;Modifica la Ley sobre Donaciones con Fines Culturales, contenida en el artículo 8° de la ley N° 18.985.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=8158&prmBoletin=7761-24;;1;;;Segundo Tramite;0,7;3;25;;28;;;;1;4
10;Cultura y patrimonio;Ley de monumento nacionales;Perfeccionaremos la Ley de Monumentos Nacionales con el fin de transformarla en un instrumento efectivo de preservación, estableciendo mecanismos de compensaciones para los propietarios de inmuebles patrimoniales, así como para las donaciones específicas para monumentos nacionales de propiedad privada, esto por medio de incentivos tributarios y aportes directos del Estado, entre otros instrumentos;70%;4;;;7761-24;1;Modifica la Ley sobre Donaciones con Fines Culturales, contenida en el artículo 8° de la ley N° 18.985.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=8158&prmBoletin=7761-24;;1;;;Segundo Tramite;0,7;3;25;;28;;;;1;4
11;Cultura y patrimonio;Reforma ley de donaciones culturales;Mejoraremos la Ley de Donaciones Culturales, tanto en el acceso como en la simplificación de su funcionamiento, ampliando su alcance pero también sancionando a quienes abusen de ésta;70%;3;;;7761-24;1;Modifica la Ley sobre Donaciones con Fines Culturales, contenida en el artículo 8° de la ley N° 18.985.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=8158&prmBoletin=7761-24;;1;;;Segundo Tramite;0,7;3;25;;28;;;1;;3
12;Cultura y patrimonio;Televisión digital;Impulsaremos el desarrollo de la televisión digital, lo que nos permitirá enriquecer los contenidos y proyectos programáticos de calidad mediante la adjudicación transparente y competitiva de las nuevas señales;70%;4;;;6190-19;1;Permite la introducción de la televisión digital terrestre.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=6579&prmBoletin=6190-19;;1;;;Segundo Tramite;0,7;10;43;;53;;;;1;4
13;Defensa;Ministerio Público militar;Se creará un Ministerio Público Militar, dependiente del Ministerio de Defensa, encargado de investigar los delitos del fuero militar y ejercer la acción penal, que conocerán los tribunales civiles de la Reforma Procesal Penal;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
14;Defensa;Reforma a la ley del Cobre;El sistema de financiamiento a través de la «Ley del Cobre» debe ser sustituido por uno que otorgue estabilidad en un horizonte de mediano plazo, y una vez que se hayan materializado las reformas estructurales del sector;70%;4;;;7678-02;1;Establece un nuevo mecanismo de financiamiento de las capacidades estratégicas de la defensa nacional.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=8071&prmBoletin=7678-02;;1;;;Segundo Tramite;0,7;3;2;1;6;;;;1;4
15;Defensa;Modernización de ASMAR y ENAER;Modernizaremos el Gobierno Corporativo de las principales empresas estatales de la Defensa (FAMAE, ASMAR y ENAER), velando por la designación de directores con experiencia empresarial, incluyendo civiles con los resguardos necesarios en materias de seguridad;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
16;Defensa;Reforma a la justicia Militar;El proceso de modernización institucional se relaciona con la Justicia Militar y la modificación al Código de Justicia Militar. Planteamos establecer como delitos del fuero militar en tiempo de paz aquellos que exclusivamente afecten un bien jurídico  propiamente  militar  y  siempre  que  sean  cometidos  por militares en el ejercicio de sus funciones, excluyendo como regla general la competencia sobre civiles;100%;4;;;7203-02;1;Modifica Sistema de Justicia Militar y establee un régimen más estricto de sanciones, tratándose de delitos contra los miembros de policías.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=7602&prmBoletin=7203-02;;;;1;Promulgado;1;;;;0;;;;1;4
17;Defensa;Reforma a CAPREDENA;Perfeccionaremos los beneficios del sistema previsional de la Defensa para sus actuales y futuros imponentes, eliminando descuentos previsionales que no se justifican y recogiendo las especificidades técnicas, de tiempo de desempeño y exigencias físicas que impone la carrera militar y que la hacen distinta de cualquier otra en el mundo civil;70%;3;100%;2;7441-13;1;Modifica ley N° 19539, permitiendo a los pensionados de la Dirección de Previsión de Carabineros de Chile y, de la Caja de Previsión de la Defensa Nacional, incorporarse a Cajas de Compensación de Asignación Familiar.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=7839&prmBoletin=7441-13;;;;1;Promulgado;1;;;;0;;1;;;2
17;Defensa;Reforma a CAPREDENA;;;;40%;4;8643-02;;Modifica algunos aspectos previsionales de las Fuerzas Armadas, Fuerzas de Orden y Seguridad Pública y Gendarmería de Chile.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=9045&prmBoletin=8643-02;1;;;;Primer Tramite;0,4;;;;0;;;;1;4
18;Seguridad;Ministerio del interior y seguridad pública;Aprobaremos el proyecto que establece el Ministerio del Interior y Seguridad Pública, y la Subsecretaría de Prevención y Rehabilitación, que entregará claramente la responsabilidad gubernamental en el ámbito de la seguridad al Ministerio del Interior. La dependencia de la Policía de Carabineros e Investigaciones pasará a este ministerio;100%;4;;;4248-06;1;Crea el Ministerio de Seguridad Pública y el Servicio Nacional para la Prevención del Consumo y Tráfico de Drogas, y modifica diversos cuerpos legales.;https://www.camara.cl/pley/pley_detalle.aspx?prmID=4629&prmBoletin=4248-06;;;;1;Promulgado;1;;;;0;;;;1;4
19;Seguridad;Creación Jefe Comunal de Seguridad;En el nivel local, estableceremos como máxima autoridad en materia de seguridad al alcalde. Crearemos el cargo de Jefe Comunal de Seguridad, que estará a cargo de los programas comunales de seguridad, y que deberá tener perfil técnico y ser elegido a través del Sistema de Alta Dirección Pública.;0%;1;;;;;;;;;;;;0;;;;0;;;;;1
