uid,area,titulo,promesa,avance_total,boletin,titulo_proyecto,link,1° tramite,veto,insistencia,2°-3° tramite,comision_mixta,tribunal_constitucional,aprobacion_presidencial,promulgado,rechazado/retirado,nombre_avance,avance,simple,suma,inmediata,total_urgencias,ja_porque
1,Infancia y Juventud,Reemplazo del Sename,Reemplazo del Sename por el Servicio de Protección de la Infancia y Adolescencia. ,70%,12027-07,Crea el Servicio de Protección a la Niñez y modifica normas legales que indica,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=12027-07,,,,1,,,,,,Segundo Tramite,"0,7",,14,1,15,El proyecto de ley asociado se encuentra en segundo trámite constitucional
2,Infancia y Juventud,Reemplazo del Sename,Reemplazo del Sename por el Servicio de Responsabilidad Adolescente.,40%,11174-07,"Crea el Servicio Nacional de Reinserción Social Juvenil e introduce modificaciones a la ley N° 20.084, sobre responsabilidad penal de adolescentes, y a otras normas que indica.",http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11174-07,1,,,,,,,,,Primer Tramite,"0,4",,23,,23,El proyecto de ley asociado se encuentra en primer trámite constitucional
3,Infancia y Juventud,Aumento subvención base a organismos colaboradores del Sename,"Proyecto de Ley que permite aumentar la subvención base que reciben los organismos colaboradores del Sename, junto a mejores estándares de calidad y mayor eficacia en su control.",100%,11657-07,"Modifica la ley N° 20.032, que Establece Sistema de Atención a la Niñez y Adolescencia a través de la red de colaboradores del Servicio Nacional de Menores (Sename), y su régimen de subvención y el decreto ley N° 2.465, del año 1979, del Ministerio de Justicia, que Crea el Servicio Nacional de Menores y fija el texto de su ley orgánica",http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11657-07,,,,,,,,1,,Promulgado,1,1,10,5,16,El proyecto de ley asociado se encuentra publicado y es Ley de la República.
4,Justicia y Derechos Humanos,Imprescriptibilidad delitos sexuales contra los niños,Imprescriptibilidad de los delitos sexuales contra los niños,70%,6956-07,Declara imprescriptibles los delitos sexuales contra menores.,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=6956-07,,,,1,,,,,,Segundo Tramite,"0,7",,21,,21,El proyecto de ley asociado se encuentra en segundo trámite constitucional
5,Justicia y Derechos Humanos,Nueva Política Migratoria ,Nueva Política Migratoria ,70%,8970-06,Ley de Migración y Extranjería.,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=8970-06,,,,1,,,,,,Segundo Tramite,"0,7",7,12,,19,El proyecto de ley asociado se encuentra en segundo trámite constitucional
6,Equidad de Género,Eliminación desigualdades legales,"Impulsar diversos Proyectos de Ley que eliminan todas las desigualdades legales aún existentes, como por ejemplo, las discriminaciones en la administración de la sociedad conyugal.   ",70%,7567-07,"Modifica Código Civil y otras leyes, regulando el régimen patrimonial de sociedad conyugal.",http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=7567-07,,,,1,,,,,,Segundo Tramite,"0,7",2,2,,4,El proyecto de ley asociado se encuentra en segundo trámite constitucional
7,Equidad de Género,"Ley sobre el Derecho de las
Mujeres a una Vida Libre de
Violencia.","Impulsar Proyecto del Gobierno anterior, que apunta al derecho de la mujer a una vida libre de violencia.",70%,11077-07,"Sobre el derecho de las
 mujeres a una vida libre de
 violencia",http://www.senado.cl/appsenado/templates/tramitacion/in,,,,1,,,,,,Segundo Tramite,"0,7",6,6,,12,El proyecto de ley asociado se encuentra en segundo trámite constitucional
8,Equidad de Género,Combate a la Violencia en el pololeo,"Impulsar  Proyectos de nuestro primer Gobierno, como el combate a la violencia en el pololeo.",70%,8851-18,"Modifica Ley de Violencia Intrafamiliar y otros cuerpos legales y, establece ley sobre violencia en las relaciones íntimas de pareja sin convivencia.",http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=8851-18,,,,1,,,,,,Segundo Tramite,"0,7",4,5,,9,El proyecto de ley asociado se encuentra en segundo trámite constitucional
9,Equidad de Género,Corresponsabilidad en la crianza de los hijos,"Impulsar proyectos de nuestro primer Gobierno, como la corresponsabilidad en la crianza de los hijos",0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
10,Justicia y Derechos Humanos,Alimentos,Facilitar el cobro de las pensiones alimenticias.,0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
