uid,area,titulo,promesa,avance_total,,boletin,titulo_proyecto,link,1° tramite,veto,insistencia,2°-3° tramite,comision_mixta,tribunal_constitucional,aprobacion_presidencial,promulgado,rechazado/retirado,nombre_avance,avance,simple,suma,inmediata,total_urgencias,marginal,parcial_minima,parcial_alta,total,escala_de_coherencia,justificacion_avance,justificacion_nota,ja_porque,jn_porque
1,Educación,Estatuto para asistentes de la educación,"Los y las asistentes de la educación, con sus labores de apoyo, también juegan un rol clave en la calidad de la educación. Hicimos el compromiso de avanzar en mejorar su carrera, y estamos preparando, en diálogo con los involucrados, un Proyecto de Estatuto de los Asistentes de la Educación que esperamos concluir para enviar a este Congreso.",70%,,11536-04,Establece un estatuto de los asistentes de la Educacion Publica,https://www.camara.cl/pley/pley_detalle.aspx?prmID=12053&prmBoletin=11536-04,,,,1,,,,,,Segundo Tramite,"0,7",,,,0,,,,,,,,El proyecto de ley asociado se encuentra en segundo trámite constitucional,
2,Educación,Gratuidad en educación superior,"Por eso, en los próximos meses esperamos aprobar el nuevo sistema de educación superior que se tramita ante este Congreso, consagrando por ley la gratuidad.",90%,,10783-04,Sobre educación superior,http://www.camara.cl/pley/pley_detalle.aspx?prmID=11224&prmBoletin=10783-04,,,,,,,1,,,Aprobación Presidencial,"0,9",9,6,2,17,,,1,,3,"Si bien por glosa y por presupuesto se cumplió con la extensión de la gratuidad al sexto decil y se amplió la cobertura hacia Centros de Formación Técnica e Institutos Profesionales, quedó fuera la aprobación del mecanismo para la gratuidad permanente, ya que esta ha sido implementada a través de leyes transitorias que asignan recursos para el sector público y se tramitan año a año. Si se aprueba el proyecto se espera que la ampliación de cobertura en los deciles beneficiados no dependa de la voluntad del gobierno de turno, sino que sea un proceso mandatado por una ley de carácter permanente (Evaluación de coherencia realizada por Educación 2020)",,El proyecto de ley se encuentra en proceso de ser promulgado,El proyecto de ley es parcialmente coherente con la promesa realizada
3,Educación,Nuevo marco regulatorio para universidades estatales,"¡Además, mañana enviaré a este Congreso un proyecto de ley específico que fortalecerá las universidades estatales, dotándolas de un nuevo marco regulatorio!",90%,,11329-04,Sobre Universidades del Estado,https://www.camara.cl/pley/pley_detalle.aspx?prmID=11844&prmBoletin=11329-04,,,,,,,1,,,Aprobación Presidencial,"0,9",,,,0,,,,,,,,El proyecto de ley se encuentra en proceso de ser promulgado,
4,Educación,Nuevo sistema de financiamiento estudiantil,"Como gobierno nos comprometimos a terminar con el Crédito con Aval del Estado (CAE). En los próximos meses enviaremos un proyecto de ley al Congreso que establecerá un sistema de financiamiento estudiantil que complemente nuestros esfuerzos en gratuidad. La iniciativa considera la creación de una entidad pública, y la promoción de estándares de calidad en todas las instituciones que accedan al beneficio.",0%,,,,,,,,,,,,,,,0,,,,0,,,,,,,,No se conocen proyectos de ley asociados a esta promesa,
5,Estado,Modernización de Cancilleria,Y para sentar mejores bases institucionales a nuestra vocación de integración hemos enviado a este Congreso un proyecto de ley de modernización de la Cancillería.,0%,,,,,,,,,,,,,,,0,,,,0,,,,,,,,No se conocen proyectos de ley asociados a esta promesa,
6,Trabajo y Previsión Social,Modernización de Dirección del Trabajo,Pronto enviaremos el proyecto de ley que fortalece y moderniza la Dirección del Trabajo.,40%,,11430-13,Sobre modernizacion y fortalecimiento de la Direccion del Trabajo,https://www.camara.cl/pley/pley_detalle.aspx?prmID=11946&prmBoletin=11430-13,1,,,,,,,,,Primer Tramite,"0,4",1,1,,2,,,,,,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,
7,Salud,Ley SANNA,"Y durante este mes enviaremos el proyecto de Ley SANNA, que establece el derecho de los padres a acompañar a sus hijos afectados por una condición grave de salud, con riesgo vital.",100%,,11281-13,"Crea un seguro para el acompañamiento de niños y niñas que padezcan las enfermedades que indica, y modifica el Código del Trabajo para estos efectos.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=11795&prmBoletin=11281-13,,,,,,,,1,,Promulgado,1,,,,0,,,,,,,,El proyecto de ley asociado se encuentra despachado y es Ley de la República,
8,Trabajo y Previsión Social,Eliminación distinción empleado y obreros en seguro de accidentes ,"También patrocinaremos la moción que propone eliminar la antigua y odiosa diferenciación en el seguro de accidentes del trabajo, que es la distinción entre empleadores y obreros. Así 350 mil trabajadores, hoy calificados como obreros, podrán acceder al sistema que hasta ahora es preferente para empleados.",100%,,11053-13,"Modifica la ley N° 16.744, que Establece normas sobre accidentes del trabajo y enfermedades profesionales, con el objeto de eliminar la distinción entre empleados y obreros",https://www.camara.cl/pley/pley_detalle.aspx?prmID=11567&prmBoletin=11053-13,,,,,,,,1,,Promulgado,1,,,,0,,,,,,,,El proyecto de ley asociado se encuentra despachado y es Ley de la República,
9,Trabajo y Previsión Social,Refuerzo del pilar contributivo del sistema de pensiones,En julio enviaremos el proyecto de ley para reforzar el pilar contributivo del sistema.,0%,,11372-13,"Crea el nuevo ahorro colectivo, aumenta la cobertura del Sistema de Pensiones y Fortalece el Pilar Solidario",https://www.camara.cl/pley/pley_detalle.aspx?prmID=11887&prmBoletin=11372-13,,,,,,,,,1,Rechazado Retirado,0,3,6,,9,,,,,,,,No se conocen proyectos de ley asociados a esta promesa,
10,Trabajo y Previsión Social,Nuevo sistema de capitalización colectiva,"Habrá una nueva cotización de 5%, con cargo al empleador, que permitirá la creación de un nuevo Sistema de Ahorro Colectivo. 3% de la nueva cotización irá a una cuenta personal del trabajador y el otro 2% irá a un Seguro de Ahorro Colectivo. Al mismo tiempo, propondremos a este Congreso la creación de un organismo público, constitucionalmente autónomo y con altas exigencias, que asegure la correcta administración de estos recursos.",0%,,11372-13,"Crea el nuevo ahorro colectivo, aumenta la cobertura del Sistema de Pensiones y Fortalece el Pilar Solidario",https://www.camara.cl/pley/pley_detalle.aspx?prmID=11887&prmBoletin=11372-13,,,,,,,,,1,Rechazado Retirado,0,,,,0,,,,,,,,No se conocen proyectos de ley asociados a esta promesa,
