uid,area,titulo,promesa,avance_total,,boletin,titulo_proyecto,link,1° tramite,veto,insistencia,2°-3° tramite,comision_mixta,tribunal_constitucional,aprobacion_presidencial,promulgado,rechazado/retirado,nombre_avance,avance,simple,suma,inmediata,total_urgencias,ja_porque
2,Agricultura,Revisión de Proyecto de Ley de Obtenedores Vegetales,"En el Gobierno anterior, enviamos el proyecto de Ley de Obtentores Vegetales, conocida como “Ley Monsanto”(...) Hemos conocido nuevos antecedentes y presenciado un debate sobre si esa ley es pertinente y cuáles pueden ser sus riesgos. Vamos a revisar ese proyecto de ley, escuchando todas las opiniones, salvaguardando y respetando la soberanía alimentaria y las semillas tradicionales",0%,,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa
5,Agricultura,Prórroga de incentivos a la forestación,"En materia forestal, enviaremos al Congreso un proyecto de ley que prorrogue por dos años los incentivos a la forestación, junto con legislar para eliminar las barreras de entrada que han limitado la incorporación de pequeños y medianos propietarios forestales a los beneficios de la actual legislación sobre bosque nativo",40%,,10064-01,"Extiende la bonificación establecida en el decreto ley N° 701, de 1974, sobre Fomento Forestal, cuyo texto fue reemplazado por el artículo primero del decreto ley N° 2.565, de 1979.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=10488&prmBoletin=10064-01,1,,,,,,,,,Primer Tramite,"0,4",1,,,1,El proyecto de ley asociado se encuentra en primer trámite constitucional
10,Cultura,Nueva Política Nacional de Museos,"Pondremos en marcha una nueva política nacional de museos, que les permita financiarse y mejorar su gestión y contenidos que ofrecen a la ciudadaníanc",100%,,8938-24,Crea el Ministerio de Cultura,https://www.camara.cl/pley/pley_detalle.aspx?prmID=9344&prmBoletin=8938-24,,,,,,,,1,,Promulgado,1,11,14,,25,El proyecto de ley asociado se encuentra publicado y es Ley de la República
12,Cultura,Creación del Ministerio de Cultura y Patrimonio,"En los primeros 100 días de Gobierno enviaremos al Congreso un proyecto de ley que crea el Ministerio de Cultura y Patrimonio, que será una institución con énfasis locales, que promueva la cultura, las artes y la interculturalidad, para lo cual, presentaremos un proyecto de ley al Congreso",100%,,8938-24,Crea el Ministerio de Cultura,https://www.camara.cl/pley/pley_detalle.aspx?prmID=9344&prmBoletin=8938-24,,,,,,,,1,,Promulgado,1,17,14,,31,El proyecto de ley asociado se encuentra publicado y es Ley de la República
13,Cultura,"Protección de la producción audiovisual, musical y narrativa","Implementaremos políticas públicas que permitan asegurar una adecuada protección y circulación de la producción audiovisual, musical, así como del libro",0%,,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa
14,Cultura,Sobre el Consejo Nacional de Televisión,"Introduciremos modificaciones al Consejo Nacional de Televisión, incorporándolo al Ministerio de Cultura y Patrimonio, ampliando sus atribuciones, manteniendo su rol de regulador de la TV, enfatizando su rol de fomento de la calidad de la industria televisiva, tanto a nivel de TV abierta, pago, regional y comunitaria",100%,,10922-05,"Moderniza el Consejo Nacional de Televisión, concede las asignaciones que indica y delega facultades para fijar su planta de personal",https://www.camara.cl/pley/pley_detalle.aspx?prmID=11402&prmBoletin=10922-05,,,,,,,,1,,Promulgado,1,2,4,1,7,El proyecto de ley asociado se encuentra publicado y es Ley de la República
15,Cultura,Ampliación de facultades a Televisión Nacional de Chile,"Enviaremos un proyecto de ley al Congreso para realizar un conjunto de modificaciones en materia de televisión pública. Se deben ampliar las facultades de TVN para un cumplimiento efectivo de los objetivos asociados con la misión pública que la ley le entrega. Al directorio se le aplicarán los deberes y régimen de responsabilidades de los directores de las Sociedades Anónimas y se debe imponer la obligación al Directorio del canal público de dar cuenta de su gestión una vez al año. TVN, debe incorporar financiamiento público de manera sistemática, con el objeto de que pueda producir bienes públicos socialmente valorados que los privados no tienen obligación de producir",90%,,6191-19,"Modifica la ley N° 19.132, de Televisión Nacional de Chile",https://www.camara.cl/pley/pley_detalle.aspx?prmID=6578&prmBoletin=6191-19,,,,,,,1,,,Aprobación Presidencial,"0,9",17,10,1,28,El proyecto de ley se encuentra en trámite de aprobación presidencial
16,Cultura,Derechos laborales en sector cultural,Perfeccionaremos la legislación y fiscalización del cumplimiento de los derechos laborales aplicables a los distintos sectores de la cultura,0%,,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa
17,Defensa,Reformas institucionales a Defensa Nacional,"En el ámbito doméstico nuestro objetivo fundamental será retomar con ímpetu las reformas institucionales para el desarrollo de una Defensa Nacional mejor preparada para las tareas que le entregue la autoridad civil, logrando ser más transparente, y más eficiente y eficaz. En este sentido, se considera necesario el fortalecimiento del mando del Jefe del Estado Mayor Conjunto en lo relativo a su empleo en tiempos de paz incluso en instancias tales como la preparación, prevención y reacción ante emergencias, así como de su responsabilidad social",70%,,7550-06,Establece el Sistema Nacional de Emergencia y Protección Civil y crea la Agencia Nacional de Protección Civil,https://www.camara.cl/pley/pley_detalle.aspx?prmID=7940&prmBoletin=7550-06,,,,1,,,,,,Segundo Tramite,"0,7",18,39,3,60,El proyecto de ley asociado se encuentra en segundo trámite constitucional.
18,Defensa,Ley Reservada del Cobre y nuevo financiamiento de la Defensa Nacional,"De esta forma se enviará una indicación sustitutiva al Congreso Nacional respecto del proyecto de ley que deroga la ley reservada del cobre en la que se establezca que la asignación de los recursos para el financiamiento de la Defensa Nacional se realizará mediante la formulación de una planificación presupuestaria cuatrienal, que contemple el financiamiento de los programas y proyectos de inversión y los gastos de operación y mantenimiento de equipamiento",0%,,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa
19,Defensa,Justicia Militar y Civil,"Reformaremos la competencia de la Justicia Militar, de manera tal que las causas con civiles víctimas de delitos cometidos por militares y carabineros sean conocidas por tribunales ordinarios. Se avanzará desde el actual modelo de fuero militar hacia uno nuevo caracterizado por la igualdad de las garantías procesales entre ciudadanos civiles y uniformados, con una judicatura letrada y plenamente independiente de la estructura de mando militar",0%,,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa
159,Defensa,Modificación de Ley Antiterrorista,"La Ley Antiterrorista será modificada para adecuarla a los estándares internacionales, tal como le han recomendado al Estado de Chile los órganos internacionales de protección de derechos humanos",40%,,9692-07,Determina conductas terroristas y su penalidad y modifica los Códigos Penal y Procesal Penal.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=10106&prmBoletin=9692-07,1,,,,,,,,,Primer Tramite,"0,4",13,11,,24,El proyecto de ley asociado se encuentra en primer trámite constitucional
21,Democracia,Sustitución del Sistema Electoral Binominal,Impulsaremos la sustitución del actual sistema electoral binominal para la elección parlamentaria por uno de representación proporcional,100%,,9326-07,Sustituye el sistema electoral binominal por uno de carácter proporcional inclusivo y fortalece la representatividad del Congreso Nacional,https://www.camara.cl/pley/pley_detalle.aspx?prmID=9742&prmBoletin=9326-07,,,,,,,,1,,Promulgado,1,4,11,4,19,El proyecto de ley asociado se encuentra publicado y es Ley de la República
22,Democracia,Nueva Constitución Política,"De esta manera, basada en una fuerte convicción democrática, se recoge la demanda nacional por una Nueva Constitución Política para Chile a impulsar en un proceso democrático, institucional y participativo que permita alcanzar este propósito",40%,,11617-07,Para modificar la Constitución Política de la República.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=12132&prmBoletin=11617-07,1,,,,,,,,,Primer Tramite,"0,4",,,,0,El proyecto de ley asociado se encuentra en primer trámite constitucional
24,Democracia,Elección democrática de Intendentes,"En el plano político, nuestra convicción es que cada región debe elegir a las autoridades que representan mejor los anhelos, sueños y proyectos de la comunidad. Si hoy se eligen alcaldes, parlamentarios y Consejeros Regionales, ese mecanismo debe extenderse a la máxima autoridad regional, hoy su intendente o intendenta",100%,100%,9834-06,Dispone la elección popular del órgano ejecutivo del gobierno regional.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=10247&prmBoletin=9834-06,,,,,,,,1,,Promulgado,1,8,6,10,24,"La promesa cuenta con 3 proyectos de ley asociados en distintos trámites constiitucionales, el avance total de la promesa es el promedio del avance de esos proyectos"
24,Democracia,Elección democrática de Intendentes,,,100%,10443-06,"Modifica la Constitución Política con el objeto de promover una descentralización efectiva, proponiendo el reemplazo del Intendente por un Gobernador Regional elegido directamente, y del actual Gobernador por un Delegado Presidencial en cada provincia.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=10863&prmBoletin=10443-06,,,,,,,,1,,Promulgado,1,3,6,10,19,"La promesa cuenta con 3 proyectos de ley asociados en distintos trámites constiitucionales, el avance total de la promesa es el promedio del avance de esos proyectos"
24,Democracia,Elección democrática de Intendentes,,,100%,7963-06,Relativo al fortalecimiento de la regionalización del país.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8381&prmBoletin=7963-06,,,,,,,,1,,Promulgado,1,19,16,4,39,"La promesa cuenta con 3 proyectos de ley asociados en distintos trámites constiitucionales, el avance total de la promesa es el promedio del avance de esos proyectos."
26,Democracia,Derecho a voto de chilenos en el extranjero,"Nos comprometemos a impulsar la tramitación, hasta su aprobación, de un proyecto de ley que otorgue el derecho a voto de chilenos en el extranjero. / Regula el ejercicio del derecho a voto de los chilenos en el extranjero",100%,100%,9069-07,Regula el ejercicio del sufragio de los ciudadanos que se encuentran fuera del país.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=9474&prmBoletin=9069-07,,,,,,,,1,,Promulgado,1,,2,,2,"La promesa cuenta con 2 proyectos de ley asociados en distintos trámites constiitucionales, el avance total de la promesa es el promedio del avance de esos proyectos"
