uid,area,titulo,promesa,avance_total,boletin,titulo_proyecto,link,1° tramite,veto,insistencia,2°-3° tramite,comision_mixta,tribunal_constitucional,aprobacion_presidencial,promulgado,rechazado/retirado,nombre_avance,avance,simple,suma,inmediata,total_urgencias,ja_porque
1,Economía y Comercio,Reintegración Impuestos Corporativos,Reintegrar gradualmente el impuesto a nivel de empresas con los impuestos pagados por las personas.,40%,12043-05,Moderniza la legislación tributaria,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=12043-05,1,,,,,,,,,Primer Tramite,"0,4",2,0,0,2,El proyecto de ley asociado se encuentra en primer trámite constitucional
2,Economía y Comercio,Baja tasa de impuesto empresas,Hacer converger gradualmente la tasa del impuesto de primera categoría a los niveles promedio de los países de la OCDE.,0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
3,Economía y Comercio,Incentivos inversión,"Establecer incentivos que reactiven la inversión favoreciendo prioritariamente a las Pymes, la innovación y el emprendimiento",40%,12043-05,Moderniza la legislación tributaria,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=12043-05,1,,,,,,,,,Primer Tramite,"0,4",2,0,0,2,El proyecto de ley asociado se encuentra en primer trámite constitucional
4,Economía y Comercio,Institucionalizar Regla Fiscal,Perfeccionar e institucionalizar la regla fiscal para asegurar su credibilidad en el tiempo,100%,11777-05,Crea el Consejo Fiscal Autónomo,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11777-05,,,,,,,,1,,Promulgado,1,5,4,4,13,El proyecto de ley asociado se encuentra publicado y es Ley de la República.
5,Economía y Comercio,Reducir carga administrativa tributaria,"Reducir y simplificar la carga administrativa de la reforma tributaria, especialmente para las Pymes, y otorgar mayor seguridad jurídica a empresas y personas",40%,12043-05,Moderniza la legislación tributaria,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=12043-05,1,,,,,,,,,Primer Tramite,"0,4",2,0,0,2,El proyecto de ley asociado se encuentra en primer trámite constitucional
6,Economía y Comercio,Masificación de la firma electrónica,Masificación de la firma electrónica,70%,8466-07,"Modifica la ley N° 19.799 sobre documentos electrónicos, firma electrónica y servicios de certificación de dicha firma y otros textos legales que indica.",http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=8466-07,,,,1,,,,,,Segundo Tramite,"0,7",,,,0,El proyecto de ley asociado se encuentra en segundo trámite constitucional
7,Economía y Comercio,Movilidad de garantías hipotecarias,Movilidad de garantías hipotecarias,40%,12409-03,Proyecto de Ley que Establece Medidas para Incentivar la protección de los derechos de los consumidores,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=12409-03,1,,,,,,,,,Primer Tramite,"0,4",,,,0,El proyecto de ley asociado se encuentra en primer trámite constitucional
8,Economía y Comercio, Incentivo regional para atraer inversiones,"Crear un incentivo regional para atraer inversiones, en que los grandes proyectos aporten al desarrollo local en las comunas donde se emplacen",40%,12043-05,Moderniza la legislación tributaria,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=12043-05,1,,,,,,,,,Primer Tramite,"0,4",2,0,0,2,El proyecto de ley asociado se encuentra en primer trámite constitucional
9,Medio Ambiente,Reestructurar el Sistema de Evaluación Ambiental,"Reestructurar y agilizar el Sistema de Evaluación Ambiental, a fin de lograr el desarrollo de procesos más expeditos, con altos estándares de calidad ambiental y en un marco de certeza jurídica para los titulares, la comunidad y los distintos servicios públicos que participan en la evaluación.",40%,11952-12,Moderniza el Sistema de Evaluación de Impacto Ambiental,http://www.senado.cl/appsenado/templates/tramitacion/index.php?boletin_ini=11952-12,1,,,,,,,,,Primer Tramite,"0,4",6,0,0,6,El proyecto de ley asociado se encuentra en primer trámite constitucional
10,Estado,Modernizar las empresas públicas,"Modernizar las empresas públicas, dotándolas de un marco regulatorio moderno y común.",0%,,,,,,,,,,,,,,0,,,,0,No se conocen proyectos de ley asociados a esta promesa.
