uid,area,titulo,promesa,avance,coherencia,boletin,titulo_del_proyecto,link,1° tramite,veto,insistencia,2°-3° tramite,comision_mixta,tribunal_constitucional,aprob_presidencial,promulgado,rechazado/retirado,nombre_avance,avance,simple,suma,inmediata,total_urgencias,marginal,parcial_minima,parcial_alta,total,escala_de_coherencia,justificacion_avance,justificacion_nota,ja_porque,jn_porque
50,Agricultura,Transforma el actual ministerio en el Ministerio de Agricultura y Alimentos,Próximamente enviaremos a este Congreso un proyecto de ley que transformará el actual ministerio en el Ministerio de Agricultura y Alimentos,0%,1,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
51,Agricultura,Envía proyecto de nuevo estatuto laboral,"Próximamente enviaremos a este Congreso un proyecto de nuevo estatuto laboral, para adecuar las normas a la realidad del sector y proteger mejor los derechos de los trabajadores y trabajadoras agrícolas de temporada, recogiendo muchas de las propuestas de la Mesa Agrícola",40%,4,7976-13,Modifica las normas de los trabajadores agrícolas establecidas en el Código del Trabajo,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8378&prmBoletin=7976-13,1,,,,,,,,,Primer Tramite,"0,4",,,,0,,,,1,4,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
52,Agricultura,Regula por ley los vegetales genéticamente modificados,Presentamos una iniciativa para regular por ley los vegetales genéticamente modificados,40%,4,4690-01,Sobre vegetales genéticamente modificados,https://www.camara.cl/pley/pley_detalle.aspx?prmID=5074&prmBoletin=4690-01,1,,,,,,,,,Primer Tramite,"0,4",,,,0,,,,1,4,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
53,Agricultura,Presenta proyecto de ley que combate la desertificación,"Este año presentaremos un proyecto de ley para combatir a la desertificación, recuperar suelos erosionados, mejorar la retención hídrica y prevenir incendios forestales, ampliando las sanciones e incorporando la responsabilidad civil de quienes los ocasionen",70%,3,8155-01,Previene la ocurrencia de incendios forestales,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8553&prmBoletin=8155-01,,,,1,,,,,,Segundo Tramite,"0,7",2,2,,4,,,1,,3,,Relativo sólo a incendios forestales,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es parcialmente coherente con la promesa realizada
54,Agricultura,Envía nuevo proyecto de ley de pesca,"Este año enviaremos un nuevo proyecto de ley de pesca que permita compatibilizar el desarrollo del sector, incluyendo la pesca artesanal e industrial, con la conservación del recurso pesquero",40%,3,8091-21,"Modifica en el ámbito de la sustentabilidad de recursos hidrobiológicos, acceso a la actividad pesquera industrial y artesanal y regulaciones para la investigación y fiscalización, la ley General de Pesca y Acuicultura contenida en la ley N° 18.892 y sus modificaciones",https://www.camara.cl/pley/pley_detalle.aspx?prmID=8488&prmBoletin=8091-21,1,,,,,,,,,Primer Tramite,"0,4",5,,,5,,,1,,3,,No garantiza conservación del recurso pesquero,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es parcialmente coherente con la promesa realizada
33,Cultura,Crea el Ministerio de la Cultura y el Patrimonio,"Propondremos crear el Ministerio de la Cultura y el Patrimonio, que agrupará al Consejo de la Cultura y las Artes, la Dirección de Bibliotecas, Archivos y Museos y el Consejo de Monumentos Nacionales",0%,1,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
34,Cultura,Fortalece y perfecciona Ley de Donaciones Culturales,"Proyecto de ley que fortalece y perfecciona la Ley de Donaciones Culturales, simplificando sus procedimientos y ampliando el universo de beneficiarios y donantes",40%,4,7761-06,"Modifica la Ley sobre Donaciones con Fines Culturales, contenida en el artículo 8° de la ley N° 18.985",https://www.camara.cl/pley/pley_detalle.aspx?prmID=8012&prmBoletin=7616-06,1,,,,,,,,,Primer Tramite,"0,4",3,9,,12,,,,1,4,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
63,Defensa,Reemplaza la Ley Reservada del Cobre y libera a CODELCO de un impuesto distorsionador,"Hemos propuesto al Congreso Nacional un mecanismo de financiamiento plurianual, que garantizará un equilibrio adecuado entre los recursos y la estabilidad que necesitan nuestras Fuerzas Armadas, y al mismo tiempo el control democrático del gasto en defensa. Este proyecto reemplazará la Ley Reservada del Cobre y liberará a Codelco de un impuesto distorsionador",40%,4,7678-02,"Establece nuevo mecanismo de financiamiento, de las capacidades estratégicas de la defensa nacional",https://www.camara.cl/pley/pley_detalle.aspx?prmID=8071&prmBoletin=7678-02,1,,,,,,,,,Primer Tramite,"0,4",3,,,3,,,,1,4,,,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
64,Defensa,Impulsa la segunda etapa de la reforma a la Justicia Militar,"También impulsaremos la segunda etapa de la reforma a la Justicia Militar, en línea con la Reforma Procesal Penal en el campo civil",0%,1,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
65,Defensa,Elimina gradualmente la cotización del seis por ciento que afecta a pensionados de las Fuerzas Armadas,"Eliminar gradualmente, la cotización del seis por ciento que afecta a los pensionados de las Fuerzas Armadas mayores de 65 años, afiliados a Capredena y Dipreca y terminar con distorsiones y excesos existentes",0%,1,,,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
