uid,area,titulo,promesa,avance_total,coherencia,,,boletin,titulo_proyecto,link,1° tramite,veto,insistencia,2°-3° tramite,comision_mixta,tribunal_constitucional,aprobacion_presidencial,promulgado,rechazado/retirado,nombre_avance,avance,simple,suma,inmediata,total_urgencias,marginal,parcial_minima,parcial_alta,total,escala_de_coherencia,justificacion_avance,Justificación_nota,ja_porque,jn_porque
1,Agricultura,Crea nuevo Estatuto Laboral Agrícola,"Esperamos que este Congreso apruebe el nuevo Estatuto Laboral Agrícola, fruto de un amplio acuerdo, para proteger más y mejor a cerca de 800 mil compatriotas que laboran en el campo, y especialmente a las mujeres temporeras",40%,3,,,7976-13,Modifica las normas de los trabajadores agrícolas establecidas en el Código del Trabajo.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8378&prmBoletin=7976-13,1,,,,,,,,,Primer Tramite,"0,4",3,9,,12,,,1,,3,"Si bien mejora la protección a las mujeres temporeras, el proyecto no contempla la creación de un nuevo estatuto laboral",,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es parcialmente coherente con la promesa realizada
2,Agricultura,"Crea nuevo ministerio de Agricultura, Pesca y Alimentos","Próximamente enviaremos a este Congreso el proyecto de ley que crea el nuevo Ministerio de Agricultura, Pesca y Alimentos, para hacer de Chile una potencia agroalimentaria",0%,4,,,9157-01,"Crea el Ministerio de Agricultura, Alimentos, Pesca y Recursos Forestales y el Sistema Nacional de Inocuidad Alimentaria.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=9601&prmBoletin=9157-01,,,,,,,,,,,0,,,,0,,,,1,4,"Crea el Ministerio de Agricultura, alimento, pesca y recursos forestales",,No se conocen proyectos de ley asociados a esta promesa,El proyecto de ley es totalmente coherente con la promesa realizada
6,Cultura,Crea Ministerio de Cultura y Patrimonio,Y hace pocos días enviamos a este Congreso el proyecto de ley que crea el Ministerio de Cultura y Patrimonio y una moderna nueva institucionalidad cultural,40%,4,,,8938-24,Crea el Ministerio de Cultura,https://www.camara.cl/pley/pley_detalle.aspx?prmID=9344&prmBoletin=8938-24,1,,,,,,,,,Primer Tramite,"0,4",6,,,6,,,,1,4,Se especifica la creación del nuevo Ministerio de Cultura y Patrimonio,,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
7,Defensa,Proyecto de ley que elimina o reduce cotización del 6% de salud,"Para quienes esperamos la pronta aprobación en este Congreso del proyecto de ley que elimina o reduce su cotización del 6% de salud, tal como lo hicimos con los pensionados civiles",95%,4,90%,4,8643-02,"Modifica algunos aspectos previsionales de las Fuerzas Armadas, Fuerzas de Orden y Seguridad Pública y Gendarmería de Chile",https://www.camara.cl/pley/pley_detalle.aspx?prmID=9045&prmBoletin=8643-02,,,,,,,1,,,Aprobación Presidencial,"0,9",1,6,8,15,,,,1,4,"Se específica en el proyecto la eliminación del 6% para los pensionados de las Fuerzas Armadas y de un 5,95% para el caso de Carabineros",,"La promesa cuenta con 2 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos",La promesa cuenta con 2 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
7,Defensa,Proyecto de ley que elimina o reduce cotización del 6% de salud,,,,100%,4,7441-13,"Modifica ley N° 19.539, permitiendo a los pensionados de la Dirección de Previsión de Carabineros de Chile y, de la Caja de Previsión de la Defensa Nacional, incorporarse a Cajas de Compensación de Asignación Familiar",http://master.congresoabierto.cl/proyectos/7441-13,,,,,,,,1,,Promulgado,1,,2,,2,,,,1,4,"Permite a los pensionados de la Dirección de Previsión de Carabineros de Chile y, de la Caja de Previsión de la Defensa Nacional, incorporarse a Cajas de Compensación de Asignación Familiar y complementa el boletín 8643.",,"La promesa cuenta con 2 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos",La promesa cuenta con 2 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
8,Democracia,Reforma la Ley Orgánica Constitucional de Partidos Políticos,"Ingresamos a este Congreso una reforma a la Ley Orgánica Constitucional de Partidos Políticos, para modernizar y transparentar su estructura y financiamiento",40%,4,,,8937-06,Modifica la Ley Orgánica Constitucional de Partidos Políticos,https://www.camara.cl/pley/pley_detalle.aspx?prmID=9345&prmBoletin=8937-06,1,,,,,,,,,Primer Tramite,"0,4",,,,0,,,,1,4,La reforma a la Ley Organica Constitucional de Partidos políticos menciona las nuevas reformas que favorecen una rendicion de cuentas por parte de los partidos y transparencia ante la ciudadanía,,El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
9,Democracia,Perfecciona ley sobre probidad pública,"(...) perfeccionar la ley sobre la probidad pública, incluyendo la obligación de desprenderse de la administración, o incluso la propiedad, cuando esto sea necesario para evitar conflictos de intereses",50%,4,70%,4,7616-06,Probidad en la Función Pública.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8012&prmBoletin=7616-06,,,,1,,,,,,Segundo Tramite,"0,7",15,27,,42,,,,1,4,Se específica que el la persona debe desprenderse de Administración y la propiedad,,"La promesa cuenta con 3 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos",La promesa cuenta con 3 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
9,Democracia,Perfecciona ley sobre probidad pública,,,,40%,4,5898-07,"Regula obligación de ciertas autoridades públicas de constituir un mandato especial de administación ciega de patrimonio y de enajenar activos, en los casos y forma que indica",http://master.congresoabierto.cl/proyectos/5898-07,1,,,,,,,,,Primer Tramite,"0,4",9,5,,14,,,,1,4,El proyecto establece un fideicomiso ciego para las personas que desempeñan la función pública,,"La promesa cuenta con 3 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos",La promesa cuenta con 3 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
9,Democracia,Perfecciona ley sobre probidad pública,,,,40%,4,7185-07,"Modifica ley N° 18.575, Orgánica Constitucional de Bases Generales de la Administración del Estado, en lo referente a la declaración de intereses y de patrimonio.",http://master.congresoabierto.cl/proyectos/7185-07,1,,,,,,,,,Primer Tramite,"0,4",,,,0,,,,1,4,"El proyecto contempla la separación entre lo público y privado, estableciendo mecanismos como el fideicomiso",,"La promesa cuenta con 3 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos",La promesa cuenta con 3 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
10,Democracia,Leyes para mejorar la transparencia,Quiero pedir a este Congreso la pronta aprobación de las leyes que hemos presentado para mejorar la transparencia,70%,4,,,7686-07,Modifica la Ley de Transparencia de la Función Pública y de Acceso a la Información de la Administración del Estado.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8086&prmBoletin=7686-07,,,,1,,,,,,Segundo Tramite,"0,7",13,22,,35,,,,1,4,Realiza cambios para mejorarla como la libre accesibilidad a la información pública,,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
