uid,area,titulo,promesa,avance_total,coherencia,,,boletin,titulo_proyecto,link,1° tramite,veto,insistencia,2°-3° tramite,comision mixta,tribunal constitucional,aprobacion_presidencial,promulgado,rechazado/retirado,nombre_avance,avance,simple,suma,inmediata,total_urgencias,marginal,parcial_minima,parcial_alta,total,escala_de_coherencia,justificacion_nota,ja_porque,jn_porque
1,Agricultura,Legalización y regulación de cultivos transgénicos,"Permitiremos el cultivo de transgénicos sujetos a controles de calidad y sanidad en maíz, remolacha, trigo, raps y arroz, resolviendo así la competencia desleal de los productores de estos rubros",40%,4,,,4690-01,Sobre vegetales genúticamente modificados,https://www.camara.cl/pley/pley_detalle.aspx?prmID=5074&prmBoletin=4690-01,1,,,,,,,,,Primer Tramite,"0,4",,,,0,,,,1,4,,,
2,Agricultura,Fortalecimiento del empleo rural,"Priorizaremos el empleo en las zonas rurales, haciendo que la legislación laboral reconozca las particularidades del sector",40%,4,,,7976-13,Modifica las normas de los trabajadores agrícolas establecidas en el Código del Trabajo,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8378&prmBoletin=7976-13,1,,,,,,,,,Primer Tramite,"0,4",,,,0,,,,1,4,,,
3,Agricultura,Financiamiento a industria silvo-agropecuaria,"En el sector silvo-agropecuario fomentaremos el acceso al financiamiento, fortaleciendo legalmente los contratos de compraventa para que ústos puedan constituir una real garantía de crédito",0%,1,,,,Fomenta al acceso de financiamiento en el sector silvo-agropecuario mediante el fortalecimiento de contratos de compraventa,,,,,,,,,,,,0,,,,0,,,,,1,,,
4,Agricultura,Reforma al fomento forestal,Perfeccionará y prorrogará el DL 701,100%,4,,,7102-01,"Prorroga la vigencia del decreto ley N¡ 701, de 1974, y aumenta los incentivos a la forestación",https://www.camara.cl/pley/pley_detalle.aspx?prmID=7501&prmBoletin=7102-01,,,,,,,,1,,Promulgado,1,2,5,,7,,,,1,4,,,
5,Agricultura,Fondo Sanitario de Contingencia,"Se creará el Fondo Sanitario de Contingencia, de tal forma que ante una emergencia sanitaria existan los recursos para hacerle frente oportunamente",0%,1,,,,Crea el Fondo Sanitario de Contingencia,,,,,,,,,,,,0,,,,0,,,,,1,,,
6,Agricultura,Nueva Ley Orgánica para CONAF,"Se dictará una ley orgánica para CONAF, potenciando así su importante labor",40%,4,,,7486-01,"Proyecto de ley que crea el Servicio Nacional Forestal, CONAF",https://www.camara.cl/pley/pley_detalle.aspx?prmID=7889&prmBoletin=7486-01,1,,,,,,,,,Primer Tramite,"0,4",3,2,,5,,,,1,4,,,
10,Cultura y patrimonio,Reforma a la Ley de Donaciones Culturales,"Mejoraremos la Ley de Donaciones Culturales, tanto en el acceso como en la simplificación de su funcionamiento, ampliando su alcance pero también sancionando a quienes abusen de ésta",40%,3,,,7761-24,"Modifica la Ley sobre Donaciones con Fines Culturales, contenida en el artículo 8¡ de la ley N¡ 18.985",https://www.camara.cl/pley/pley_detalle.aspx?prmID=8158&prmBoletin=7761-24,1,,,,,,,,,Primer Tramite,"0,4",,8,,8,,,1,,3,,,
11,Cultura y patrimonio,Ley de Monumentos Nacionales,"Perfeccionaremos la Ley de Monumentos Nacionales con el fin de transformarla en un instrumento efectivo de preservación, estableciendo mecanismos de compensaciones para los propietarios de inmuebles patrimoniales, así como para las donaciones específicas para monumentos nacionales de propiedad privada, esto por medio de incentivos tributarios y aportes directos del Estado, entre otros instrumentos",40%,4,,,7761-24,"Modifica la Ley sobre Donaciones con Fines Culturales, contenida en el artículo 8¡ de la ley N¡ 18.985",https://www.camara.cl/pley/pley_detalle.aspx?prmID=8158&prmBoletin=7761-24,1,,,,,,,,,Primer Tramite,"0,4",,8,,8,,,,1,4,,,
12,Cultura y patrimonio,Fomento de la Inversión en actividades artístico-culturales,"Crearemos un cuerpo de iniciativas legales tendientes a promover la participación responsable de la sociedad civil, estimulando el financiamiento de las actividades artístico-culturales y de cuidado del patrimonio cultural por parte de los privados",40%,4,,,7761-24,"Modifica la Ley sobre Donaciones con Fines Culturales, contenida en el artículo 8¡ de la ley N¡ 18.985",https://www.camara.cl/pley/pley_detalle.aspx?prmID=8158&prmBoletin=7761-24,1,,,,,,,,,Primer Tramite,"0,4",,8,,8,,,,1,4,,,
14,Defensa,Reforma a la Justicia Militar,"El proceso de modernización institucional se relaciona con la Justicia Militar y la modificación al Código de Justicia Militar. Planteamos establecer como delitos del fuero militar en tiempo de paz aquellos que exclusivamente afecten un bien jurídico  propiamente  militar  y  siempre  que  sean  cometidos  por militares en el ejercicio de sus funciones, excluyendo como regla general la competencia sobre civiles",100%,4,,,7203-02,"Modifica Sistema de Justicia Militar y establece un rúgimen más estricto de sanciones, tratándose de delitos contra los miembros de las policías",https://www.camara.cl/pley/pley_detalle.aspx?prmID=7602&prmBoletin=7203-02,,,,,,,,1,,Promulgado,1,,1,3,4,,,,1,4,,,
15,Defensa,Sustitución de la Ley del Cobre como sistema de financiamiento de la Defensa Nacional ,"El sistema de financiamiento a través de la Ley del Cobre debe ser sustituido por uno que otorgue estabilidad en un horizonte de mediano plazo, y una vez que se hayan materializado las reformas estructurales del sector",40%,4,,,7678-02,Establece un nuevo mecanismo de financiamiento de las capacidades estratégicas de la defensa nacional,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8071&prmBoletin=7678-02,1,,,,,,,,,Primer Tramite,"0,4",3,,,3,,,,1,4,,,
17,Defensa,Modernización de ASMAR y ENAER,"Modernizaremos el Gobierno Corporativo de las principales empresas estatales de la Defensa (FAMAE, ASMAR y ENAER), velando por la designación de directores con experiencia empresarial, incluyendo civiles con los resguardos necesarios en materias de seguridad",0%,1,,,,"Moderniza principales empresas estatales de la defensa (FAMAE, ASMAR y ENAER)",,,,,,,,,,,,0,,,,0,,,,,1,,,
18,Defensa,Creación el Ministerio Público militar,"Se creará un Ministerio Público Militar, dependiente del Ministerio de Defensa, encargado de investigar los delitos del fuero militar y ejercer la acción penal, que conocerán los tribunales civiles de la Reforma Procesal Penal",0%,1,,,,Crea un Ministerio Público Militar,,,,,,,,,,,,0,,,,0,,,,,1,,,
19,Defensa,Reforma a CAPREDENA,"Perfeccionaremos los beneficios del sistema previsiónal de la Defensa para sus actuales y futuros imponentes, eliminando descuentos previsiónales que no se justifican y recogiendo las especificidades técnicas, de tiempo de desempeño y exigencias físicas que impone la carrera militar y que la hacen distinta de cualquier otra en el mundo civil",0%,1,,,,Reforma a CAPREDENA,,,,,,,,,,,,0,,,,0,,,,,1,,,
20,Democracia,Inscripción automatica y Voto voluntario,Perfeccionaremos la institucionalidad electoral estableciendo un sistema de inscripción automática y voto voluntario,,,100%,4,7338-07,"Sobre inscripción automática, Servicio Electoral y sistema de votaciones",https://www.camara.cl/pley/pley_detalle.aspx?prmID=7731&prmBoletin=7338-07,,,,,,,,1,,Promulgado,1,4,15,5,24,,,,1,4,,,
