uid,area,titulo,promesa,avance_total,coherencia,,,boletin,titulo_del_proyecto,link,1° tramite,veto,insistencia,2°-3° tramite,comision_mixta,tribunal_constitucional,aprobacion_presidencial,promulgado,rechazado/retirado,nombre_avance,avance,simple,suma,inmediata,total_urgencias,marginal,parcial_minima,parcial_alta,total,escala_de_coherencia,justificacion_avance,justificacion_nota,ja_porque,jn_porque
1,Agricultura,Legalización y regulación de cultivos transgénicos,"Permitiremos el cultivo de transgénicos sujetos a controles de calidad y sanidad en maíz, remolacha, trigo, raps y arroz, resolviendo así la competencia desleal de los productores de estos rubros",40%,4,,,4690-01,Sobre vegetales genéticamente modificados,https://www.camara.cl/pley/pley_detalle.aspx?prmID=5074&prmBoletin=4690-01,1,,,,,,,,,Primer Tramite,"0,4",,,,0,,,,1,4,,"El proyecto tiene coherencia total, permite el cultivo de transgénicos pero regulandolas. Así como también la comercialización",El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
2,Agricultura,Fortalecimiento del empleo rural,"Priorizaremos el empleo en las zonas rurales, haciendo que la legislación laboral reconozca las particularidades del sector",40%,3,,,7976-13,Modifica las normas de los trabajadores agrícolas establecidas en el Código del Trabajo.,https://www.camara.cl/pley/pley_detalle.aspx?prmID=8378&prmBoletin=7976-13,1,,,,,,,,,Primer Tramite,"0,4",3,9,,12,,,1,,3,,"Si bien mejora la protección a las mujeres temporeras, el proyecto no contempla la creación de un nuevo estatuto laboral",El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es parcialmente coherente con la promesa realizada
3,Agricultura,Financiamiento a industria silvo-agropecuaria,"En el sector silvo-agropecuario fomentaremos el acceso al financiamiento, fortaleciendo legalmente los contratos de compraventa para que éstos puedan constituir una real garantía de crédito",70%,4,,,8829-01,Crea un registro voluntario de contratos agrícolas,https://www.camara.cl/pley/pley_detalle.aspx?prmID=9235&prmBoletin=8829-01,,,,1,,,,,,Segundo Tramite,"0,7",,10,,10,,,,1,4,,El proyecto de ley menciona explicitamente la forma en que se fortalecerán los contratos,El proyecto de ley asociado se encuentra en segundo trámite constitucional,El proyecto de ley es totalmente coherente con la promesa realizada
4,Agricultura,Reforma al fomento forestal,Perfeccionará y prorrogará el DL 701,85%,4,70%,4,8603-01,Fomento Forestal que modifica y extiende el DL N° 701,https://www.camara.cl/pley/pley_detalle.aspx?prmID=9002&prmBoletin=8603-01,,,,1,,,,,,Segundo Tramite,"0,7",2,17,,19,,,,1,4,,"A pesar de que la promesa es muy general, el proyecto menciona el fomento forestal y de manera explicita la derogación del DL 701","La promesa cuenta con 2 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 2 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
4,Agricultura,Reforma al fomento forestal,,,,100%,4,7102-01,"Prorroga la vigencia del decreto ley N° 701, de 1974, y aumenta los incentivos a la forestación.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=7501&prmBoletin=7102-01,,,,,,,,1,,Promulgado,1,,,,0,,,,1,4,,,"La promesa cuenta con 2 proyectos de ley asociados en distintos trámites constitucionales, el avance total de la promesa es el promedio del avance de esos proyectos ",La promesa cuenta con 2 proyectos de ley asociados. La coherencia total de esta promesa corresponde a el promedio de las coherencias de esos proyectos
5,Agricultura,Fondo Sanitario de Contingencia,"Se creará el Fondo Sanitario de Contingencia, de tal forma que ante una emergencia sanitaria existan los recursos para hacerle frente oportunamente",0%,1,,,,Crea el Fondo Sanitario de Contingencia,,,,,,,,,,,,0,,,,0,,,,,1,,,No se conocen proyectos de ley asociados a esta promesa,No se conocen proyectos de ley asociados a esta promesa
6,Agricultura,Nueva Ley Orgánica para CONAF,"Se dictará una ley orgánica para CONAF, potenciando así su importante labor",40%,3,,,7486-01,"Proyecto de ley que crea el Servicio Nacional Forestal, CONAF",https://www.camara.cl/pley/pley_detalle.aspx?prmID=7889&prmBoletin=7486-01,,,1,,,,,,,Insistencia,"0,4",3,5,1,9,,,1,,3,,"El proyecto considera un fomento del organismo forestal, pero es parcial, ya que crea un nuevo organismo ",El proyecto de ley asociado se encuentra en primer trámite constitucional,El proyecto de ley es parcialmente coherente con la promesa realizada
10,Cultura,Reforma ley de donaciones culturales,"Mejoraremos la Ley de Donaciones Culturales, tanto en el acceso como en la simplificación de su funcionamiento, ampliando su alcance pero también sancionando a quienes abusen de ésta",100%,4,,,7761-24,"Modifica la Ley sobre Donaciones con Fines Culturales, contenida en el artículo 8° de la ley N° 18.98",https://www.camara.cl/pley/pley_detalle.aspx?prmID=8158&prmBoletin=7761-24,,,,,,,,1,,Promulgado,1,3,28,1,32,,,,1,4,,Se establecen las bases para Donaciones Culturales,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
11,Cultura,Ley de Monumentos Nacionales,"Perfeccionaremos la Ley de Monumentos Nacionales con el fin de transformarla en un instrumento efectivo de preservación, estableciendo mecanismos de compensaciones para los propietarios de inmuebles patrimoniales, así como para las donaciones específicas para monumentos nacionales de propiedad privada, esto por medio de incentivos tributarios y aportes directos del Estado, entre otros instrumentos",100%,4,,,7761-24,"Modifica la Ley sobre Donaciones con Fines Culturales, contenida en el artículo 8° de la ley N° 18.985",https://www.camara.cl/pley/pley_detalle.aspx?prmID=8158&prmBoletin=7761-24,,,,,,,,1,,Promulgado,1,3,,1,4,,,,1,4,,"La ley específica los aportes del Estado, incentivos tributarios y protección del patrimonio cultural.",El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
12,Cultura,Fomento de la inversión en actividades artístico-culturales,"Crearemos un cuerpo de iniciativas legales tendientes a promover la participación responsable de la sociedad civil, estimulando el financiamiento de las actividades artístico-culturales y de cuidado del patrimonio cultural por parte de los privados",100%,4,,,7761-24,"Modifica la Ley sobre Donaciones con Fines Culturales, contenida en el artículo 8° de la ley N° 18.985.",https://www.camara.cl/pley/pley_detalle.aspx?prmID=8158&prmBoletin=7761-24,,,,,,,,1,,Promulgado,1,3,25,,28,,,,1,4,,,El proyecto de ley asociado se encuentra despachado y es Ley de la República,El proyecto de ley es totalmente coherente con la promesa realizada
