area,total,escala,Promesas,Proyectos de Ley,Promesas c/ PL,Urgencias,,N° de promesas realizadas,,56,,,,,,
Agricultura,0%,"1,0",1,0,0,0,,N° de proyectos enviados,,44,,,,,,
Ciencia y Tecnología,0%,"1,0",1,0,0,1,,Promesas con Proyetos de Ley,,41,,,Proyectos y su Estado de Avance,,,
Cultura y Patrimonio,20%,"2,5",2,1,1,52,,N° de proyectos / área,,"2,9",,,Avance,,n°,total %
Democracia,85%,"3,5",4,5,4,0,,Capacidad,,9,,,1° trámite,,13,"29,55%"
Desarrollo social,0%,"1,0",1,0,0,96,,Promedio Avance,,53%,,,Veto,,0,"0,00%"
Economía,53%,"3,3",8,6,6,54,,Promedio Coherencia,,"3,0",,,Insistencia,,0,"0,00%"
Educación,73%,"3,2",6,5,5,43,,,,,,,2°-3° trámite,,13,"29,55%"
Energía,60%,"3,3",4,3,3,10,,Urgencia,,,,,Comisión Mixta,,1,"2,27%"
Equidad de Género,70%,"4,0",1,1,1,49,,Urgencias,N° de Proyectos,Total,Total %,,Tribunal Constitucional,,1,"2,27%"
Estado,60%,"3,0",5,4,4,7,,Sin urgencia,5,,"11,4%",,Aprobación Presidencial,,1,"2,27%"
Infancia y Juventud,40%,"4,0",1,1,1,62,,Simple,24,121,"54,5%",,Promulgado,,14,"31,82%"
Justicia y DDHH,51%,"3,1",9,8,7,11,,Suma,35,250,"79,5%",,Rechazado/Retirado,,1,"2,27%"
Medio Ambiente,40%,"3,0",2,2,2,0,,Inmediata,15,44,"34,1%",,Total,,44,"100,00%"
Minería,0%,"1,0",1,0,0,2,,Total,44,415,100%,,,,,
Obras Públicas,40%,"4,0",1,1,1,1,,,,,,,N° de promesas por Estado de avance,,,
Pueblos originarios,20%,"2,5",2,2,1,0,,Proyectos con su urgencia más alta,,,,,Promesas,,N°,total %
Salud,0%,"1,0",1,0,0,27,,Urgencias,N° de Proyectos,Total %,,,100%,,13,"23,21%"
Trabajo y Previsión Social,78%,"3,0",5,4,4,0,,Sin urgencia ,5,"11,4%",,,90%,,2,"3,57%"
Vivienda y Urbanismo,40%,"4,0",1,1,1,0,,simple,3,"6,8%",,,70%,,14,25%
Promedio/Total,38%,"2,7",56,44,41,415,,suma,21,"47,7%",,,40%,,12,"21,43%"
,,,,,,,,inmediata,15,"34,1%",,,0%,,15,27%
,,,,,,,,Total,44,"100,0%",,,Total,,56,100%
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,N° de promesas por Escala de Coherencia,,,
,,,,,,,,,,,,,Promesas,,N°,total %
,,,,,,,,,,,,,4,,31,"55,36%"
,,,,,,,,,,,,,3,,8,"14,29%"
,,,,,,,,,,,,,2,,2,4%
,,,,,,,,,,,,,1,,15,"26,79%"
,,,,,,,,,,,,,Total,,56,100%
